aspectid	aspectname
0	none
1	beauty
2	love
3	desire
4	pleasure
5	music
6	art
7	knowledge
8	healing
9	plague
10	prophecy
11	poetry
12	archery
13	war
14	bloodshed
15	violence
16	hunting
17	wilderness
18	animals
19	reason
20	wisdom
21	intelligence
22	skillfulness
23	peace
24	strategy
25	craftmanship
26	growth
27	festivals
28	chaos
29	drunkenness
30	madness
31	death
32	fire
33	wanderlust
34	chastity
35	ocean
36	misery
37	eternity
38	void
39	darkness
40	retribution
41	underworld
42	heaven
43	art
44	curiosity
45	devotion
46	hospitality
47	nobility
48	gluttony
49	sloth
50	wrath
51	envy
52	lust
53	avarice
54	pride
55	sorrow
56	despair
57	neglect
58	vainglory
59	temperence
60	charity
61	diligence
62	patience
63	gratitude
64	humility
65	bravery
66	cowardice
67	chivalry
68	empire
69	failure
70	glory
71	vengeance
72	friendship
73	liberty
74	creativity
75	mercy
76	cruelty
77	commerce
78	enterprising
79	strength
80	weakness
81	magic
82	stoic
83	inspiring
84	gambler
85	mundane
86	entitled
87	generous
88	guilty
89	haunted
90	secretive
91	narcissistic
92	naïve
93	ugly
94	paranoid
95	useless
96	isolation
97	lies
98	cautious
99	reckless
100	absent
